City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Bella Union,UY,2022-10-13 20:59:41,-30.2752,-57.6007,72.91,54,0,9.82,clear sky
60,College,US,2022-10-13 20:59:42,64.8569,-147.8028,27.21,85,16,2.75,few clouds
61,Port Elizabeth,ZA,2022-10-13 20:59:43,-33.918,25.5701,69.1,99,100,4.0,overcast clouds
62,Cortez,US,2022-10-13 20:59:43,37.3489,-108.5859,74.93,21,0,17.05,clear sky
63,New Norfolk,AU,2022-10-13 20:59:44,-42.7826,147.0587,51.93,67,94,4.0,overcast clouds
64,Aklavik,CA,2022-10-13 20:59:44,68.2191,-135.0107,26.6,63,100,9.22,overcast clouds
65,Clarence Town,AU,2022-10-13 20:59:45,-32.5833,151.7833,63.95,90,100,3.0,moderate rain
66,Chuy,UY,2022-10-13 20:59:45,-33.6971,-53.4616,52.97,62,69,16.44,broken clouds
67,Houma,US,2022-10-13 20:59:46,29.5958,-90.7195,87.01,63,0,10.36,clear sky
68,Yellowknife,CA,2022-10-13 20:59:45,62.456,-114.3525,39.72,65,75,28.77,broken clouds
69,Netanya,IL,2022-10-13 20:59:47,32.3329,34.8599,73.42,65,24,6.04,few clouds
70,Bambous Virieux,MU,2022-10-13 20:55:09,-20.3428,57.7575,71.22,73,40,11.5,scattered clouds
71,Sobolevo,RU,2022-10-13 20:58:34,54.4299,31.8996,39.52,80,10,2.46,clear sky
72,Qaqortoq,GL,2022-10-13 20:59:49,60.7167,-46.0333,26.74,60,1,4.5,clear sky
73,Tamiahua,MX,2022-10-13 20:59:49,21.2667,-97.45,85.01,70,92,13.78,overcast clouds
74,Isla Vista,US,2022-10-13 20:58:48,34.4133,-119.861,81.25,61,27,5.7,scattered clouds
75,Kavieng,PG,2022-10-13 20:59:50,-2.5744,150.7967,81.86,72,34,10.0,scattered clouds
76,Chokurdakh,RU,2022-10-13 20:59:50,70.6333,147.9167,8.08,95,90,4.97,overcast clouds
77,Vagay,RU,2022-10-13 20:59:51,57.9375,69.0217,43.77,74,99,9.04,overcast clouds
78,Eyl,SO,2022-10-13 20:59:51,7.9803,49.8164,78.21,80,17,12.39,few clouds
79,Abong Mbang,CM,2022-10-13 20:59:51,3.9833,13.1833,67.62,98,100,1.32,light rain
80,Hovd,MN,2022-10-13 20:59:52,48.0056,91.6419,32.95,51,0,2.42,clear sky
81,Ushuaia,AR,2022-10-13 20:58:28,-54.8,-68.3,44.26,61,75,14.97,broken clouds
82,Oranjemund,NA,2022-10-13 20:55:17,-28.55,16.4333,57.45,95,7,7.18,clear sky
83,Pemangkat,ID,2022-10-13 20:59:52,1.1667,108.9667,79.02,82,100,5.21,overcast clouds
84,Aswan,EG,2022-10-13 20:59:53,24.0934,32.907,83.5,28,0,8.05,clear sky
85,Cuxhaven,DE,2022-10-13 20:59:53,53.8718,8.6909,53.96,100,100,5.75,mist
86,Sao Filipe,CV,2022-10-13 20:59:54,14.8961,-24.4956,79.75,77,58,8.55,broken clouds
87,Bazaliya,UA,2022-10-13 20:59:54,49.7127,26.4733,43.59,78,7,6.44,clear sky
88,Hithadhoo,MV,2022-10-13 20:59:54,-0.6,73.0833,81.27,71,76,16.24,broken clouds
89,Deputatskiy,RU,2022-10-13 20:59:55,69.3,139.9,-2.45,96,93,5.32,overcast clouds
90,Saint-Pierre,RE,2022-10-13 20:59:55,-21.3393,55.4781,69.91,73,0,16.11,clear sky
